Date,Close,High,Low,Volume,Open
07-01-2020 16:00,204.7,206.35,201.77,32061206,203.14
07-02-2020 16:00,206.26,208.02,205,29315762,205.68
07-06-2020 16:00,210.7,211.13,208.09,31897629,208.83
07-07-2020 16:00,208.25,214.67,207.99,33600732,210.45
07-08-2020 16:00,212.83,213.26,208.69,33600025,210.07
07-09-2020 16:00,214.32,216.38,211.47,33121681,216.33
07-10-2020 16:00,213.67,214.08,211.08,26177633,213.62
7/13/2020 16:00:00,207.07,215.8,206.5,38135606,214.48
7/14/2020 16:00:00,208.35,208.85,202.03,37591820,206.13
7/15/2020 16:00:00,208.04,211.33,205.03,32179409,209.56
7/16/2020 16:00:00,203.92,205.7,202.31,29940653,205.4
7/17/2020 16:00:00,202.88,205.04,201.39,31635281,204.47
7/20/2020 16:00:00,211.6,212.3,203.01,36884836,205
7/21/2020 16:00:00,208.75,213.94,208.03,38105777,213.66
7/22/2020 16:00:00,211.75,212.3,208.39,49605692,209.2
7/23/2020 16:00:00,202.54,210.92,202.15,67089653,207.19
